counter_id,date,time,channel_1,channel_2
40,2015-03-22,00,0,0
40,2015-03-22,01,0,0
40,2015-03-22,02,0,0
40,2015-03-22,03,0,0
40,2015-03-22,04,1,0
40,2015-03-22,05,2,0
40,2015-03-22,06,1,0
40,2015-03-22,07,1,0
40,2015-03-22,08,5,0
40,2015-03-22,09,2,0
40,2015-03-22,10,7,0
40,2015-03-22,11,8,0
40,2015-03-22,12,7,0
40,2015-03-22,13,9,0
40,2015-03-22,14,9,0
40,2015-03-22,15,9,0
40,2015-03-22,16,13,0
40,2015-03-22,17,9,0
40,2015-03-22,18,4,0
40,2015-03-22,19,1,0
40,2015-03-22,20,5,0
40,2015-03-22,21,0,0
40,2015-03-22,22,1,0
40,2015-03-22,23,1,0
40,2015-03-23,00,1,0
40,2015-03-23,01,1,0
40,2015-03-23,02,0,0
40,2015-03-23,03,1,0
40,2015-03-23,04,0,0
40,2015-03-23,05,1,0
40,2015-03-23,06,0,0
40,2015-03-23,07,9,0
40,2015-03-23,08,81,0
40,2015-03-23,09,93,0
40,2015-03-23,10,59,0
40,2015-03-23,11,12,0
40,2015-03-23,12,26,0
40,2015-03-23,13,40,0
40,2015-03-23,14,25,0
40,2015-03-23,15,21,0
40,2015-03-23,16,21,0
40,2015-03-23,17,49,0
40,2015-03-23,18,18,0
40,2015-03-23,19,13,0
40,2015-03-23,20,5,0
40,2015-03-23,21,3,0
40,2015-03-23,22,4,0
40,2015-03-23,23,2,0
40,2015-03-24,00,1,0
40,2015-03-24,01,1,0
40,2015-03-24,02,0,0
40,2015-03-24,03,0,0
40,2015-03-24,04,0,0
40,2015-03-24,05,0,0
40,2015-03-24,06,1,0
40,2015-03-24,07,14,0
40,2015-03-24,08,82,0
40,2015-03-24,09,85,0
40,2015-03-24,10,39,0
40,2015-03-24,11,25,0
40,2015-03-24,12,24,0
40,2015-03-24,13,28,0
40,2015-03-24,14,29,0
40,2015-03-24,15,18,0
40,2015-03-24,16,19,0
40,2015-03-24,17,40,0
40,2015-03-24,18,31,0
40,2015-03-24,19,8,0
40,2015-03-24,20,6,0
40,2015-03-24,21,6,0
40,2015-03-24,22,8,0
40,2015-03-24,23,1,0
40,2015-03-25,00,0,0
40,2015-03-25,01,0,0
40,2015-03-25,02,0,0
40,2015-03-25,03,0,0
40,2015-03-25,04,0,0
40,2015-03-25,05,0,0
40,2015-03-25,06,2,0
40,2015-03-25,07,9,0
40,2015-03-25,08,70,0
40,2015-03-25,09,105,0
40,2015-03-25,10,37,0
40,2015-03-25,11,25,0
40,2015-03-25,12,27,0
40,2015-03-25,13,31,0
