counter_id,date,time,channel_1,channel_2
05,2013-04-03,15,11,6
05,2013-04-03,16,31,12
05,2013-04-03,17,35,19
05,2013-04-03,18,25,19
05,2013-04-03,19,9,7
05,2013-04-03,20,4,1
05,2013-04-03,21,0,0
05,2013-04-03,22,1,1
05,2013-04-03,23,0,0
05,2013-04-04,00,0,0
05,2013-04-04,01,0,0
05,2013-04-04,02,0,0
05,2013-04-04,03,0,0
05,2013-04-04,04,0,0
05,2013-04-04,05,0,2
05,2013-04-04,06,3,5
05,2013-04-04,07,12,25
05,2013-04-04,08,11,40
05,2013-04-04,09,5,15
05,2013-04-04,10,4,6
05,2013-04-04,11,8,8
05,2013-04-04,12,12,11
05,2013-04-04,13,7,5
05,2013-04-04,14,15,9
05,2013-04-04,15,12,6
05,2013-04-04,16,24,12
05,2013-04-04,17,53,8
05,2013-04-04,18,24,19
05,2013-04-04,19,10,8
05,2013-04-04,20,10,4
05,2013-04-04,21,6,1
05,2013-04-04,22,2,1
05,2013-04-04,23,1,0
05,2013-04-05,00,1,0
05,2013-04-05,01,0,0
05,2013-04-05,02,0,0
05,2013-04-05,03,0,0
05,2013-04-05,04,0,0
05,2013-04-05,05,0,1
05,2013-04-05,06,1,4
05,2013-04-05,07,9,22
05,2013-04-05,08,8,43
05,2013-04-05,09,2,11
05,2013-04-05,10,9,3
05,2013-04-05,11,12,6
05,2013-04-05,12,6,4
05,2013-04-05,13,11,5
05,2013-04-05,14,18,9
05,2013-04-05,15,18,14
05,2013-04-05,16,27,8
05,2013-04-05,17,27,8
05,2013-04-05,18,30,10
05,2013-04-05,19,3,6
05,2013-04-05,20,4,1
05,2013-04-05,21,3,2
05,2013-04-05,22,2,2
05,2013-04-05,23,2,2
05,2013-04-06,00,1,0
05,2013-04-06,01,0,0
05,2013-04-06,02,0,0
05,2013-04-06,03,0,0
05,2013-04-06,04,0,0
05,2013-04-06,05,0,0
05,2013-04-06,06,1,1
05,2013-04-06,07,2,3
05,2013-04-06,08,10,9
05,2013-04-06,09,27,14
05,2013-04-06,10,32,10
05,2013-04-06,11,21,24
