counter_id,date,time,channel_1,channel_2
20,2015-03-22,00,0,2
20,2015-03-22,01,0,0
20,2015-03-22,02,0,0
20,2015-03-22,03,0,0
20,2015-03-22,04,0,3
20,2015-03-22,05,1,0
20,2015-03-22,06,2,0
20,2015-03-22,07,4,8
20,2015-03-22,08,10,12
20,2015-03-22,09,9,35
20,2015-03-22,10,25,24
20,2015-03-22,11,32,16
20,2015-03-22,12,19,17
20,2015-03-22,13,23,23
20,2015-03-22,14,23,8
20,2015-03-22,15,26,15
20,2015-03-22,16,26,12
20,2015-03-22,17,15,19
20,2015-03-22,18,14,10
20,2015-03-22,19,5,3
20,2015-03-22,20,5,5
20,2015-03-22,21,3,2
20,2015-03-22,22,2,1
20,2015-03-22,23,1,1
20,2015-03-23,00,0,0
20,2015-03-23,01,1,0
20,2015-03-23,02,1,0
20,2015-03-23,03,0,0
20,2015-03-23,04,0,0
20,2015-03-23,05,3,0
20,2015-03-23,06,8,2
20,2015-03-23,07,42,9
20,2015-03-23,08,67,30
20,2015-03-23,09,16,18
20,2015-03-23,10,6,15
20,2015-03-23,11,14,18
20,2015-03-23,12,11,11
20,2015-03-23,13,11,6
20,2015-03-23,14,14,7
20,2015-03-23,15,14,29
20,2015-03-23,16,24,28
20,2015-03-23,17,22,57
20,2015-03-23,18,18,39
20,2015-03-23,19,8,19
20,2015-03-23,20,3,7
20,2015-03-23,21,1,9
20,2015-03-23,22,6,5
20,2015-03-23,23,1,1
20,2015-03-24,00,0,0
20,2015-03-24,01,0,0
20,2015-03-24,02,0,0
20,2015-03-24,03,0,0
20,2015-03-24,04,0,0
20,2015-03-24,05,3,0
20,2015-03-24,06,16,1
20,2015-03-24,07,35,14
20,2015-03-24,08,81,30
20,2015-03-24,09,14,21
20,2015-03-24,10,10,15
20,2015-03-24,11,14,9
20,2015-03-24,12,9,10
20,2015-03-24,13,12,4
20,2015-03-24,14,11,9
20,2015-03-24,15,5,25
20,2015-03-24,16,17,39
20,2015-03-24,17,18,45
20,2015-03-24,18,20,32
20,2015-03-24,19,5,13
20,2015-03-24,20,3,12
20,2015-03-24,21,3,8
20,2015-03-24,22,1,1
20,2015-03-24,23,1,1
20,2015-03-25,00,0,2
20,2015-03-25,01,0,0
20,2015-03-25,02,0,0
20,2015-03-25,03,0,0
20,2015-03-25,04,0,0
20,2015-03-25,05,4,0
20,2015-03-25,06,21,9
20,2015-03-25,07,33,6
20,2015-03-25,08,72,29
20,2015-03-25,09,28,14
20,2015-03-25,10,9,14
20,2015-03-25,11,12,18
20,2015-03-25,12,14,18
20,2015-03-25,13,11,14
20,2015-03-25,14,15,21
20,2015-03-25,15,23,30
20,2015-03-25,16,18,44
20,2015-03-25,17,21,50
20,2015-03-25,18,9,30
20,2015-03-25,19,8,17
20,2015-03-25,20,6,8
20,2015-03-25,21,3,5
20,2015-03-25,22,1,2
20,2015-03-25,23,0,0
20,2015-03-26,00,0,0
20,2015-03-26,01,0,1
20,2015-03-26,02,0,0
20,2015-03-26,03,0,0
20,2015-03-26,04,0,0
20,2015-03-26,05,2,0
20,2015-03-26,06,12,1
20,2015-03-26,07,21,9
20,2015-03-26,08,37,14
20,2015-03-26,09,8,10
20,2015-03-26,10,6,5
20,2015-03-26,11,1,5
20,2015-03-26,12,10,3
20,2015-03-26,13,9,8
20,2015-03-26,14,10,9
20,2015-03-26,15,14,17
20,2015-03-26,16,14,25
20,2015-03-26,17,17,47
20,2015-03-26,18,26,33
