counter_id,date,time,channel_1,channel_2
22,2015-03-22,00,0,0
22,2015-03-22,01,0,0
22,2015-03-22,02,0,0
22,2015-03-22,03,0,0
22,2015-03-22,04,0,0
22,2015-03-22,05,0,0
22,2015-03-22,06,0,0
22,2015-03-22,07,0,0
22,2015-03-22,08,0,0
22,2015-03-22,09,0,0
22,2015-03-22,10,10,20
22,2015-03-22,11,29,28
22,2015-03-22,12,19,20
22,2015-03-22,13,14,20
22,2015-03-22,14,27,22
22,2015-03-22,15,25,25
22,2015-03-22,16,23,34
22,2015-03-22,17,23,14
22,2015-03-22,18,16,11
22,2015-03-22,19,9,19
22,2015-03-22,20,4,9
22,2015-03-22,21,5,4
22,2015-03-22,22,9,8
22,2015-03-22,23,4,2
22,2015-03-23,00,4,3
22,2015-03-23,01,1,0
22,2015-03-23,02,3,0
22,2015-03-23,03,0,0
22,2015-03-23,04,0,0
22,2015-03-23,05,0,1
22,2015-03-23,06,6,5
22,2015-03-23,07,19,28
22,2015-03-23,08,30,92
22,2015-03-23,09,27,48
22,2015-03-23,10,9,25
22,2015-03-23,11,14,17
22,2015-03-23,12,21,28
22,2015-03-23,13,13,24
22,2015-03-23,14,25,12
22,2015-03-23,15,21,26
22,2015-03-23,16,36,48
22,2015-03-23,17,72,55
22,2015-03-23,18,31,28
22,2015-03-23,19,11,20
22,2015-03-23,20,11,17
22,2015-03-23,21,16,12
22,2015-03-23,22,6,5
22,2015-03-23,23,5,1
22,2015-03-24,00,2,1
22,2015-03-24,01,2,1
22,2015-03-24,02,1,1
22,2015-03-24,03,0,1
22,2015-03-24,04,0,0
22,2015-03-24,05,2,1
22,2015-03-24,06,5,6
22,2015-03-24,07,19,20
22,2015-03-24,08,33,92
22,2015-03-24,09,25,41
22,2015-03-24,10,15,30
22,2015-03-24,11,13,13
22,2015-03-24,12,16,21
22,2015-03-24,13,19,24
22,2015-03-24,14,25,26
22,2015-03-24,15,20,40
22,2015-03-24,16,23,46
22,2015-03-24,17,59,48
22,2015-03-24,18,39,38
22,2015-03-24,19,25,29
22,2015-03-24,20,13,19
22,2015-03-24,21,8,7
22,2015-03-24,22,10,7
22,2015-03-24,23,6,6
22,2015-03-25,00,3,3
22,2015-03-25,01,0,0
22,2015-03-25,02,1,2
22,2015-03-25,03,0,1
22,2015-03-25,04,0,0
22,2015-03-25,05,2,0
22,2015-03-25,06,3,3
22,2015-03-25,07,12,26
22,2015-03-25,08,31,83
22,2015-03-25,09,19,53
22,2015-03-25,10,17,33
22,2015-03-25,11,7,27
22,2015-03-25,12,14,24
22,2015-03-25,13,30,37
22,2015-03-25,14,27,34
22,2015-03-25,15,19,25
22,2015-03-25,16,37,33
22,2015-03-25,17,63,46
22,2015-03-25,18,33,30
22,2015-03-25,19,17,20
22,2015-03-25,20,11,20
22,2015-03-25,21,11,12
22,2015-03-25,22,12,11
22,2015-03-25,23,2,2
22,2015-03-26,00,1,1
22,2015-03-26,01,0,1
22,2015-03-26,02,1,0
22,2015-03-26,03,0,0
22,2015-03-26,04,0,1
22,2015-03-26,05,2,0
22,2015-03-26,06,2,1
22,2015-03-26,07,7,22
22,2015-03-26,08,23,53
22,2015-03-26,09,13,33
22,2015-03-26,10,11,14
22,2015-03-26,11,7,14
22,2015-03-26,12,12,21
22,2015-03-26,13,14,17
22,2015-03-26,14,10,19
22,2015-03-26,15,26,21
22,2015-03-26,16,28,31
22,2015-03-26,17,56,51
22,2015-03-26,18,28,27
22,2015-03-26,19,17,23
22,2015-03-26,20,16,25
22,2015-03-26,21,13,9
22,2015-03-26,22,5,3
22,2015-03-26,23,9,7
22,2015-03-27,00,2,3
22,2015-03-27,01,2,0
22,2015-03-27,02,1,0
22,2015-03-27,03,0,0
22,2015-03-27,04,1,0
22,2015-03-27,05,1,0
22,2015-03-27,06,4,5
22,2015-03-27,07,9,28
22,2015-03-27,08,33,58
22,2015-03-27,09,30,45
22,2015-03-27,10,12,20
22,2015-03-27,11,11,31
22,2015-03-27,12,24,28
22,2015-03-27,13,22,40
22,2015-03-27,14,11,24
22,2015-03-27,15,27,32
22,2015-03-27,16,28,22
22,2015-03-27,17,45,40
22,2015-03-27,18,23,35
22,2015-03-27,19,20,17
22,2015-03-27,20,10,15
22,2015-03-27,21,7,7
22,2015-03-27,22,2,11
22,2015-03-27,23,7,4
22,2015-03-28,00,4,2
22,2015-03-28,01,5,0
22,2015-03-28,02,1,0
22,2015-03-28,03,2,0
22,2015-03-28,04,1,0
22,2015-03-28,05,0,0
22,2015-03-28,06,3,0
22,2015-03-28,07,3,1
22,2015-03-28,08,2,10
22,2015-03-28,09,8,10
22,2015-03-28,10,12,14
22,2015-03-28,11,7,12
22,2015-03-28,12,3,12
22,2015-03-28,13,17,14
22,2015-03-28,14,7,15
22,2015-03-28,15,9,16
22,2015-03-28,16,9,19
22,2015-03-28,17,13,14
22,2015-03-28,18,11,9
22,2015-03-28,19,5,12
22,2015-03-28,20,4,10
22,2015-03-28,21,11,5
22,2015-03-28,22,5,7
22,2015-03-28,23,6,3
22,2015-04-05,00,3,1
22,2015-04-05,01,3,5
22,2015-04-05,02,1,1
22,2015-04-05,03,0,0
22,2015-04-05,04,0,0
22,2015-04-05,05,2,2
22,2015-04-05,06,3,0
22,2015-04-05,07,5,4
22,2015-04-05,08,5,5
22,2015-04-05,09,5,11
22,2015-04-05,10,17,31
22,2015-04-05,11,18,15
22,2015-04-05,12,25,23
22,2015-04-05,13,25,37
22,2015-04-05,14,21,27
22,2015-04-05,15,32,36
22,2015-04-05,16,18,23
22,2015-04-05,17,38,32
22,2015-04-05,18,15,21
22,2015-04-05,19,13,11
22,2015-04-05,20,9,6
22,2015-04-05,21,2,6
22,2015-04-05,22,4,5
22,2015-04-05,23,1,2
22,2015-04-06,00,4,2
22,2015-04-06,01,1,1
22,2015-04-06,02,0,0
22,2015-04-06,03,0,0
22,2015-04-06,04,2,0
22,2015-04-06,05,1,1
22,2015-04-06,06,3,3
22,2015-04-06,07,7,9
22,2015-04-06,08,9,27
22,2015-04-06,09,15,37
22,2015-04-06,10,20,30
22,2015-04-06,11,23,30
22,2015-04-06,12,24,42
22,2015-04-06,13,27,27
22,2015-04-06,14,20,24
22,2015-04-06,15,29,42
22,2015-04-06,16,31,25
22,2015-04-06,17,53,42
22,2015-04-06,18,30,23
22,2015-04-06,19,12,21
22,2015-04-06,20,14,9
22,2015-04-06,21,10,9
22,2015-04-06,22,2,7
22,2015-04-06,23,3,4
22,2015-04-07,00,6,3
22,2015-04-07,01,3,1
