counter_id,date,time,channel_1,channel_2
24,2015-03-22,00,0,0
24,2015-03-22,01,0,0
24,2015-03-22,02,0,0
24,2015-03-22,03,0,0
24,2015-03-22,04,0,0
24,2015-03-22,05,1,0
24,2015-03-22,06,0,0
24,2015-03-22,07,1,3
24,2015-03-22,08,5,5
24,2015-03-22,09,13,9
24,2015-03-22,10,21,14
24,2015-03-22,11,18,10
24,2015-03-22,12,11,12
24,2015-03-22,13,15,15
24,2015-03-22,14,15,14
24,2015-03-22,15,15,15
24,2015-03-22,16,12,16
24,2015-03-22,17,8,12
24,2015-03-22,18,6,7
24,2015-03-22,19,2,4
24,2015-03-22,20,4,1
24,2015-03-22,21,1,0
24,2015-03-22,22,0,0
24,2015-03-22,23,0,0
24,2015-03-23,00,0,0
24,2015-03-23,01,0,0
24,2015-03-23,02,0,1
24,2015-03-23,03,0,0
24,2015-03-23,04,0,0
24,2015-03-23,05,0,0
24,2015-03-23,06,5,2
24,2015-03-23,07,26,21
24,2015-03-23,08,59,36
24,2015-03-23,09,21,15
24,2015-03-23,10,7,8
24,2015-03-23,11,9,5
24,2015-03-23,12,7,3
24,2015-03-23,13,6,5
24,2015-03-23,14,13,11
24,2015-03-23,15,12,13
24,2015-03-23,16,35,26
24,2015-03-23,17,46,49
24,2015-03-23,18,29,18
24,2015-03-23,19,9,6
24,2015-03-23,20,2,0
24,2015-03-23,21,2,6
24,2015-03-23,22,1,1
24,2015-03-23,23,0,0
24,2015-03-24,00,2,1
24,2015-03-24,01,0,0
24,2015-03-24,02,0,0
24,2015-03-24,03,0,0
24,2015-03-24,04,0,0
24,2015-03-24,05,0,1
24,2015-03-24,06,5,5
24,2015-03-24,07,27,24
24,2015-03-24,08,64,42
24,2015-03-24,09,11,15
24,2015-03-24,10,6,8
24,2015-03-24,11,8,8
24,2015-03-24,12,13,6
24,2015-03-24,13,6,3
24,2015-03-24,14,7,5
24,2015-03-24,15,16,18
24,2015-03-24,16,31,26
24,2015-03-24,17,50,45
24,2015-03-24,18,30,21
24,2015-03-24,19,5,5
24,2015-03-24,20,5,4
24,2015-03-24,21,4,2
24,2015-03-24,22,5,2
24,2015-03-24,23,2,0
24,2015-03-25,00,0,0
24,2015-03-25,01,0,0
24,2015-03-25,02,0,0
24,2015-03-25,03,0,0
24,2015-03-25,04,0,0
24,2015-03-25,05,0,0
24,2015-03-25,06,0,0
24,2015-03-25,07,0,0
24,2015-03-25,08,0,0
24,2015-03-25,09,0,0
24,2015-03-25,10,0,0
24,2015-03-25,11,2,1
24,2015-03-25,12,9,11
24,2015-03-25,13,15,4
24,2015-03-25,14,7,13
24,2015-03-25,15,22,12
24,2015-03-25,16,33,20
24,2015-03-25,17,44,35
24,2015-03-25,18,34,19
24,2015-03-25,19,10,5
24,2015-03-25,20,2,5
24,2015-03-25,21,1,4
24,2015-03-25,22,4,2
24,2015-03-25,23,2,1
24,2015-03-26,00,0,0
24,2015-03-26,01,0,0
24,2015-03-26,02,0,0
24,2015-03-26,03,0,0
24,2015-03-26,04,0,0
24,2015-03-26,05,0,1
24,2015-03-26,06,5,2
24,2015-03-26,07,17,15
24,2015-03-26,08,35,19
24,2015-03-26,09,11,7
24,2015-03-26,10,2,4
24,2015-03-26,11,7,4
24,2015-03-26,12,5,6
24,2015-03-26,13,5,6
24,2015-03-26,14,9,4
24,2015-03-26,15,7,6
24,2015-03-26,16,30,14
24,2015-03-26,17,39,26
24,2015-03-26,18,18,17
24,2015-03-26,19,4,4
24,2015-03-26,20,1,1
24,2015-03-26,21,1,2
24,2015-03-26,22,0,3
24,2015-03-26,23,0,0
24,2015-03-27,00,0,0
24,2015-03-27,01,0,0
24,2015-03-27,02,0,0
24,2015-03-27,03,0,1
24,2015-03-27,04,0,0
24,2015-03-27,05,0,1
24,2015-03-27,06,2,2
24,2015-03-27,07,21,15
24,2015-03-27,08,38,28
24,2015-03-27,09,20,14
24,2015-03-27,10,4,5
24,2015-03-27,11,10,4
24,2015-03-27,12,16,14
24,2015-03-27,13,12,11
24,2015-03-27,14,13,12
24,2015-03-27,15,14,16
24,2015-03-27,16,37,19
24,2015-03-27,17,33,27
24,2015-03-27,18,18,19
24,2015-03-27,19,8,4
24,2015-03-27,20,1,1
24,2015-03-27,21,3,2
24,2015-03-27,22,1,2
24,2015-03-27,23,1,1
24,2015-03-28,00,0,1
24,2015-03-28,01,0,0
24,2015-03-28,02,1,0
24,2015-03-28,03,0,0
24,2015-03-28,04,0,0
24,2015-03-28,05,1,1
24,2015-03-28,06,1,0
24,2015-03-28,07,2,1
24,2015-03-28,08,1,1
24,2015-03-28,09,1,1
24,2015-03-28,10,6,5
24,2015-03-28,11,2,1
24,2015-03-28,12,5,15
24,2015-03-28,13,12,4
24,2015-03-28,14,2,6
24,2015-03-28,15,8,6
24,2015-03-28,16,8,7
24,2015-03-28,17,2,3
24,2015-03-28,18,1,3
24,2015-03-28,19,1,1
24,2015-03-28,20,0,2
24,2015-03-28,21,0,1
24,2015-03-28,22,0,1
24,2015-03-28,23,0,0
24,2015-04-05,00,0,2
24,2015-04-05,01,0,0
24,2015-04-05,02,0,0
24,2015-04-05,03,0,1
24,2015-04-05,04,0,1
24,2015-04-05,05,0,1
24,2015-04-05,06,1,0
24,2015-04-05,07,4,2
24,2015-04-05,08,6,6
24,2015-04-05,09,8,4
24,2015-04-05,10,22,9
24,2015-04-05,11,15,16
24,2015-04-05,12,22,16
24,2015-04-05,13,15,24
24,2015-04-05,14,16,20
24,2015-04-05,15,18,12
24,2015-04-05,16,20,15
24,2015-04-05,17,16,17
24,2015-04-05,18,5,8
24,2015-04-05,19,5,8
24,2015-04-05,20,3,6
24,2015-04-05,21,3,1
24,2015-04-05,22,0,0
24,2015-04-05,23,0,0
24,2015-04-06,00,0,1
24,2015-04-06,01,0,1
24,2015-04-06,02,0,0
24,2015-04-06,03,0,0
24,2015-04-06,04,0,0
24,2015-04-06,05,1,1
24,2015-04-06,06,4,1
24,2015-04-06,07,8,7
24,2015-04-06,08,15,9
24,2015-04-06,09,10,12
24,2015-04-06,10,16,10
24,2015-04-06,11,23,7
24,2015-04-06,12,15,18
24,2015-04-06,13,20,16
24,2015-04-06,14,33,18
24,2015-04-06,15,15,20
24,2015-04-06,16,17,30
24,2015-04-06,17,17,34
24,2015-04-06,18,24,18
24,2015-04-06,19,6,7
24,2015-04-06,20,2,0
24,2015-04-06,21,3,4
24,2015-04-06,22,2,0
24,2015-04-06,23,0,2
24,2015-04-07,00,0,0
