counter_id,date,time,channel_1,channel_2
30,2015-03-22,00,0,3
30,2015-03-22,01,0,0
30,2015-03-22,02,0,0
30,2015-03-22,03,0,2
30,2015-03-22,04,0,0
30,2015-03-22,05,4,0
30,2015-03-22,06,3,1
30,2015-03-22,07,2,1
30,2015-03-22,08,2,4
30,2015-03-22,09,6,0
30,2015-03-22,10,12,6
30,2015-03-22,11,8,14
30,2015-03-22,12,9,2
30,2015-03-22,13,9,5
30,2015-03-22,14,10,8
30,2015-03-22,15,10,16
30,2015-03-22,16,5,4
30,2015-03-22,17,4,5
30,2015-03-22,18,2,11
30,2015-03-22,19,5,5
30,2015-03-22,20,1,1
30,2015-03-22,21,3,3
30,2015-03-22,22,2,1
30,2015-03-22,23,0,2
30,2015-03-23,00,1,1
30,2015-03-23,01,2,0
30,2015-03-23,02,0,0
30,2015-03-23,03,0,0
30,2015-03-23,04,0,1
30,2015-03-23,05,3,0
30,2015-03-23,06,6,3
30,2015-03-23,07,17,7
30,2015-03-23,08,40,19
30,2015-03-23,09,11,7
30,2015-03-23,10,6,9
30,2015-03-23,11,10,4
30,2015-03-23,12,5,6
30,2015-03-23,13,7,7
30,2015-03-23,14,11,15
30,2015-03-23,15,9,12
30,2015-03-23,16,15,16
30,2015-03-23,17,23,36
30,2015-03-23,18,9,23
30,2015-03-23,19,3,9
30,2015-03-23,20,2,4
30,2015-03-23,21,7,6
30,2015-03-23,22,3,1
30,2015-03-23,23,0,4
30,2015-03-24,00,0,0
30,2015-03-24,01,0,0
30,2015-03-24,02,1,0
30,2015-03-24,03,1,0
30,2015-03-24,04,0,0
30,2015-03-24,05,2,4
30,2015-03-24,06,9,3
30,2015-03-24,07,24,16
30,2015-03-24,08,54,19
30,2015-03-24,09,17,14
30,2015-03-24,10,10,5
30,2015-03-24,11,5,7
30,2015-03-24,12,7,3
30,2015-03-24,13,10,10
30,2015-03-24,14,9,8
30,2015-03-24,15,10,10
30,2015-03-24,16,14,15
30,2015-03-24,17,25,38
30,2015-03-24,18,10,24
30,2015-03-24,19,5,11
30,2015-03-24,20,8,2
30,2015-03-24,21,8,10
30,2015-03-24,22,5,0
30,2015-03-24,23,0,1
30,2015-03-25,00,1,0
30,2015-03-25,01,0,0
30,2015-03-25,02,1,1
30,2015-03-25,03,0,0
30,2015-03-25,04,0,0
30,2015-03-25,05,2,2
30,2015-03-25,06,11,1
30,2015-03-25,07,14,18
30,2015-03-25,08,41,14
30,2015-03-25,09,14,8
30,2015-03-25,10,9,8
30,2015-03-25,11,12,2
30,2015-03-25,12,8,9
30,2015-03-25,13,10,9
30,2015-03-25,14,6,10
30,2015-03-25,15,14,9
30,2015-03-25,16,19,8
30,2015-03-25,17,21,30
30,2015-03-25,18,8,25
30,2015-03-25,19,8,10
30,2015-03-25,20,7,11
30,2015-03-25,21,4,11
30,2015-03-25,22,2,3
30,2015-03-25,23,0,0
30,2015-03-26,00,0,1
30,2015-03-26,01,0,0
30,2015-03-26,02,1,3
30,2015-03-26,03,0,0
30,2015-03-26,04,0,0
30,2015-03-26,05,3,2
30,2015-03-26,06,10,2
30,2015-03-26,07,13,7
30,2015-03-26,08,29,10
30,2015-03-26,09,10,6
30,2015-03-26,10,9,10
30,2015-03-26,11,6,4
30,2015-03-26,12,7,7
30,2015-03-26,13,12,6
30,2015-03-26,14,6,9
30,2015-03-26,15,5,7
30,2015-03-26,16,17,9
30,2015-03-26,17,18,28
30,2015-03-26,18,9,13
30,2015-03-26,19,2,12
30,2015-03-26,20,5,4
30,2015-03-26,21,4,7
30,2015-03-26,22,2,5
30,2015-03-26,23,2,6
30,2015-03-27,00,0,0
30,2015-03-27,01,0,0
30,2015-03-27,02,0,1
30,2015-03-27,03,0,0
30,2015-03-27,04,0,0
30,2015-03-27,05,4,3
30,2015-03-27,06,9,2
30,2015-03-27,07,15,7
30,2015-03-27,08,31,14
30,2015-03-27,09,8,5
30,2015-03-27,10,5,8
30,2015-03-27,11,8,9
30,2015-03-27,12,6,6
30,2015-03-27,13,14,10
30,2015-03-27,14,12,7
30,2015-03-27,15,8,9
30,2015-03-27,16,12,16
30,2015-03-27,17,18,21
30,2015-03-27,18,6,16
30,2015-03-27,19,3,6
30,2015-03-27,20,2,6
