counter_id,date,time,channel_1,channel_2
34,2015-03-22,00,0,0
34,2015-03-22,01,0,0
34,2015-03-22,02,0,0
34,2015-03-22,03,0,0
34,2015-03-22,04,0,0
34,2015-03-22,05,0,0
34,2015-03-22,06,0,0
34,2015-03-22,07,0,0
34,2015-03-22,08,0,0
34,2015-03-22,09,0,0
34,2015-03-22,10,0,0
34,2015-03-22,11,0,0
34,2015-03-22,12,0,0
34,2015-03-22,13,0,0
34,2015-03-22,14,0,0
34,2015-03-22,15,5,10
34,2015-03-22,16,5,12
34,2015-03-22,17,19,8
34,2015-03-22,18,14,11
34,2015-03-22,19,10,11
34,2015-03-22,20,13,3
34,2015-03-22,21,4,2
34,2015-03-22,22,8,3
34,2015-03-22,23,3,3
34,2015-03-23,00,1,1
34,2015-03-23,01,2,0
34,2015-03-23,02,1,1
34,2015-03-23,03,1,0
34,2015-03-23,04,2,2
34,2015-03-23,05,0,1
34,2015-03-23,06,6,5
34,2015-03-23,07,17,16
34,2015-03-23,08,33,57
34,2015-03-23,09,22,22
34,2015-03-23,10,15,7
34,2015-03-23,11,18,11
34,2015-03-23,12,22,12
34,2015-03-23,13,21,8
34,2015-03-23,14,11,8
34,2015-03-23,15,17,20
34,2015-03-23,16,29,22
34,2015-03-23,17,72,42
34,2015-03-23,18,33,23
34,2015-03-23,19,23,7
34,2015-03-23,20,13,12
34,2015-03-23,21,12,11
34,2015-03-23,22,6,7
34,2015-03-23,23,5,2
34,2015-03-24,00,2,1
34,2015-03-24,01,3,0
34,2015-03-24,02,2,0
34,2015-03-24,03,0,0
34,2015-03-24,04,1,0
34,2015-03-24,05,0,1
34,2015-03-24,06,6,3
34,2015-03-24,07,20,29
34,2015-03-24,08,37,36
34,2015-03-24,09,36,19
34,2015-03-24,10,14,13
34,2015-03-24,11,20,8
34,2015-03-24,12,16,9
34,2015-03-24,13,15,20
34,2015-03-24,14,16,9
34,2015-03-24,15,24,17
34,2015-03-24,16,38,26
34,2015-03-24,17,63,34
34,2015-03-24,18,43,18
34,2015-03-24,19,25,16
34,2015-03-24,20,10,12
34,2015-03-24,21,11,9
34,2015-03-24,22,11,6
34,2015-03-24,23,6,3
34,2015-03-25,00,4,1
34,2015-03-25,01,2,0
34,2015-03-25,02,1,0
34,2015-03-25,03,1,0
34,2015-03-25,04,1,0
34,2015-03-25,05,0,3
34,2015-03-25,06,2,7
34,2015-03-25,07,15,18
34,2015-03-25,08,31,48
34,2015-03-25,09,32,24
34,2015-03-25,10,11,16
34,2015-03-25,11,11,14
34,2015-03-25,12,17,19
34,2015-03-25,13,18,12
34,2015-03-25,14,18,13
34,2015-03-25,15,18,19
34,2015-03-25,16,38,27
34,2015-03-25,17,48,30
34,2015-03-25,18,42,26
34,2015-03-25,19,20,11
34,2015-03-25,20,15,25
