counter_id,date,time,channel_1,channel_2
35,2015-03-22,00,0,1
35,2015-03-22,01,0,3
35,2015-03-22,02,0,0
35,2015-03-22,03,0,0
35,2015-03-22,04,0,0
35,2015-03-22,05,0,0
35,2015-03-22,06,1,0
35,2015-03-22,07,4,5
35,2015-03-22,08,6,8
35,2015-03-22,09,4,0
35,2015-03-22,10,7,6
35,2015-03-22,11,10,5
35,2015-03-22,12,2,5
35,2015-03-22,13,5,7
35,2015-03-22,14,5,4
35,2015-03-22,15,1,1
35,2015-03-22,16,3,3
35,2015-03-22,17,8,8
35,2015-03-22,18,4,4
35,2015-03-22,19,1,1
35,2015-03-22,20,2,4
35,2015-03-22,21,1,3
35,2015-03-22,22,3,3
35,2015-03-22,23,0,0
35,2015-03-23,00,1,2
35,2015-03-23,01,0,0
35,2015-03-23,02,0,0
35,2015-03-23,03,0,1
35,2015-03-23,04,0,0
35,2015-03-23,05,1,1
35,2015-03-23,06,7,8
35,2015-03-23,07,27,17
35,2015-03-23,08,40,42
35,2015-03-23,09,9,18
35,2015-03-23,10,7,11
35,2015-03-23,11,8,5
35,2015-03-23,12,5,10
35,2015-03-23,13,5,4
35,2015-03-23,14,5,5
35,2015-03-23,15,10,7
35,2015-03-23,16,26,11
35,2015-03-23,17,24,36
35,2015-03-23,18,10,26
35,2015-03-23,19,3,6
35,2015-03-23,20,5,6
35,2015-03-23,21,10,3
35,2015-03-23,22,1,7
35,2015-03-23,23,1,2
35,2015-03-24,00,1,0
35,2015-03-24,01,0,0
35,2015-03-24,02,0,0
35,2015-03-24,03,0,0
35,2015-03-24,04,0,0
35,2015-03-24,05,1,0
35,2015-03-24,06,11,9
35,2015-03-24,07,26,37
35,2015-03-24,08,54,27
35,2015-03-24,09,13,17
35,2015-03-24,10,9,7
35,2015-03-24,11,5,1
35,2015-03-24,12,7,9
35,2015-03-24,13,10,19
35,2015-03-24,14,7,9
35,2015-03-24,15,13,12
35,2015-03-24,16,35,14
35,2015-03-24,17,26,42
35,2015-03-24,18,14,24
35,2015-03-24,19,11,11
35,2015-03-24,20,5,7
35,2015-03-24,21,5,9
35,2015-03-24,22,3,5
35,2015-03-24,23,1,2
35,2015-03-25,00,0,4
35,2015-03-25,01,1,0
35,2015-03-25,02,0,0
35,2015-03-25,03,0,0
35,2015-03-25,04,1,0
35,2015-03-25,05,2,1
35,2015-03-25,06,7,6
35,2015-03-25,07,25,20
35,2015-03-25,08,45,37
35,2015-03-25,09,16,15
35,2015-03-25,10,5,8
35,2015-03-25,11,6,6
35,2015-03-25,12,11,7
35,2015-03-25,13,4,9
35,2015-03-25,14,4,5
35,2015-03-25,15,18,7
35,2015-03-25,16,23,14
35,2015-03-25,17,21,39
35,2015-03-25,18,24,20
35,2015-03-25,19,8,17
35,2015-03-25,20,4,7
35,2015-03-25,21,6,4
35,2015-03-25,22,4,3
35,2015-03-25,23,0,5
35,2015-03-26,00,1,0
35,2015-03-26,01,0,1
35,2015-03-26,02,0,0
35,2015-03-26,03,1,0
35,2015-03-26,04,0,0
