counter_id,date,time,channel_1,channel_2
42,2015-03-22,00,6,3
42,2015-03-22,01,4,2
42,2015-03-22,02,2,1
42,2015-03-22,03,2,0
42,2015-03-22,04,0,3
42,2015-03-22,05,0,0
42,2015-03-22,06,1,1
42,2015-03-22,07,5,14
42,2015-03-22,08,5,15
42,2015-03-22,09,12,19
42,2015-03-22,10,19,22
42,2015-03-22,11,22,37
42,2015-03-22,12,22,29
42,2015-03-22,13,18,19
42,2015-03-22,14,21,34
42,2015-03-22,15,22,27
42,2015-03-22,16,43,24
42,2015-03-22,17,28,26
42,2015-03-22,18,21,23
42,2015-03-22,19,24,11
42,2015-03-22,20,28,8
42,2015-03-22,21,10,7
42,2015-03-22,22,6,10
42,2015-03-22,23,4,4
42,2015-03-23,00,5,2
42,2015-03-23,01,2,0
42,2015-03-23,02,2,1
42,2015-03-23,03,2,0
42,2015-03-23,04,0,0
42,2015-03-23,05,1,2
42,2015-03-23,06,6,8
42,2015-03-23,07,20,41
42,2015-03-23,08,42,116
42,2015-03-23,09,18,87
42,2015-03-23,10,16,36
42,2015-03-23,11,21,29
42,2015-03-23,12,25,27
42,2015-03-23,13,21,31
42,2015-03-23,14,24,30
42,2015-03-23,15,30,23
42,2015-03-23,16,56,29
42,2015-03-23,17,101,63
42,2015-03-23,18,51,50
42,2015-03-23,19,42,16
42,2015-03-23,20,37,12
42,2015-03-23,21,20,9
42,2015-03-23,22,19,6
42,2015-03-23,23,4,2
42,2015-03-24,00,4,3
42,2015-03-24,01,0,1
42,2015-03-24,02,0,1
42,2015-03-24,03,1,0
42,2015-03-24,04,1,0
42,2015-03-24,05,0,2
42,2015-03-24,06,2,7
42,2015-03-24,07,16,50
42,2015-03-24,08,33,119
42,2015-03-24,09,26,70
42,2015-03-24,10,18,40
42,2015-03-24,11,13,34
42,2015-03-24,12,22,30
42,2015-03-24,13,23,21
42,2015-03-24,14,14,29
42,2015-03-24,15,44,24
42,2015-03-24,16,46,31
42,2015-03-24,17,98,59
42,2015-03-24,18,63,50
42,2015-03-24,19,51,28
42,2015-03-24,20,39,20
42,2015-03-24,21,36,6
42,2015-03-24,22,23,6
42,2015-03-24,23,12,2
42,2015-03-25,00,3,1
42,2015-03-25,01,4,0
42,2015-03-25,02,1,0
42,2015-03-25,03,1,0
42,2015-03-25,04,1,0
42,2015-03-25,05,2,1
42,2015-03-25,06,3,8
42,2015-03-25,07,19,44
42,2015-03-25,08,36,110
42,2015-03-25,09,19,77
42,2015-03-25,10,17,34
42,2015-03-25,11,20,36
42,2015-03-25,12,22,27
42,2015-03-25,13,29,34
42,2015-03-25,14,30,31
42,2015-03-25,15,46,22
42,2015-03-25,16,48,51
42,2015-03-25,17,79,73
42,2015-03-25,18,78,46
42,2015-03-25,19,35,20
42,2015-03-25,20,33,13
42,2015-03-25,21,28,15
42,2015-03-25,22,24,6
42,2015-03-25,23,9,4
42,2015-03-26,00,2,3
42,2015-03-26,01,4,0
42,2015-03-26,02,2,0
42,2015-03-26,03,0,0
42,2015-03-26,04,0,1
42,2015-03-26,05,1,1
42,2015-03-26,06,1,6
42,2015-03-26,07,15,24
42,2015-03-26,08,25,98
42,2015-03-26,09,15,66
42,2015-03-26,10,10,32
42,2015-03-26,11,12,22
42,2015-03-26,12,22,23
42,2015-03-26,13,30,27
42,2015-03-26,14,18,24
42,2015-03-26,15,19,15
42,2015-03-26,16,52,38
42,2015-03-26,17,95,45
42,2015-03-26,18,48,46
42,2015-03-26,19,47,19
42,2015-03-26,20,32,14
42,2015-03-26,21,30,14
42,2015-03-26,22,9,6
42,2015-03-26,23,15,4
42,2015-03-27,00,4,5
42,2015-03-27,01,2,2
42,2015-03-27,02,6,1
42,2015-03-27,03,2,0
