counter_id,date,time,channel_1,channel_2
43,2015-03-22,00,6,4
43,2015-03-22,01,6,2
43,2015-03-22,02,2,1
43,2015-03-22,03,0,0
43,2015-03-22,04,0,0
43,2015-03-22,05,0,0
43,2015-03-22,06,0,0
43,2015-03-22,07,4,11
43,2015-03-22,08,7,12
43,2015-03-22,09,16,25
43,2015-03-22,10,23,25
43,2015-03-22,11,27,36
43,2015-03-22,12,28,35
43,2015-03-22,13,24,29
43,2015-03-22,14,15,40
43,2015-03-22,15,51,48
43,2015-03-22,16,47,25
43,2015-03-22,17,29,29
43,2015-03-22,18,26,14
43,2015-03-22,19,13,10
43,2015-03-22,20,19,8
43,2015-03-22,21,3,2
43,2015-03-22,22,8,4
43,2015-03-22,23,1,4
43,2015-03-23,00,1,0
43,2015-03-23,01,2,0
43,2015-03-23,02,0,1
43,2015-03-23,03,1,0
43,2015-03-23,04,0,0
43,2015-03-23,05,0,1
43,2015-03-23,06,1,5
43,2015-03-23,07,13,35
43,2015-03-23,08,31,111
43,2015-03-23,09,16,80
43,2015-03-23,10,14,32
43,2015-03-23,11,17,28
43,2015-03-23,12,25,41
43,2015-03-23,13,26,28
43,2015-03-23,14,24,25
43,2015-03-23,15,27,25
43,2015-03-23,16,52,23
43,2015-03-23,17,81,34
43,2015-03-23,18,42,37
43,2015-03-23,19,34,14
43,2015-03-23,20,31,12
43,2015-03-23,21,16,5
43,2015-03-23,22,9,8
43,2015-03-23,23,4,1
43,2015-03-24,00,3,2
43,2015-03-24,01,0,1
43,2015-03-24,02,5,0
43,2015-03-24,03,0,0
43,2015-03-24,04,0,0
43,2015-03-24,05,0,2
43,2015-03-24,06,0,10
43,2015-03-24,07,10,38
43,2015-03-24,08,35,113
43,2015-03-24,09,16,71
43,2015-03-24,10,32,42
43,2015-03-24,11,17,36
43,2015-03-24,12,29,45
43,2015-03-24,13,20,25
43,2015-03-24,14,20,24
43,2015-03-24,15,39,26
43,2015-03-24,16,56,34
43,2015-03-24,17,89,40
43,2015-03-24,18,54,35
43,2015-03-24,19,36,25
43,2015-03-24,20,25,16
43,2015-03-24,21,18,4
43,2015-03-24,22,16,5
43,2015-03-24,23,6,1
43,2015-03-25,00,3,2
43,2015-03-25,01,2,0
43,2015-03-25,02,1,0
43,2015-03-25,03,1,0
43,2015-03-25,04,1,0
43,2015-03-25,05,0,1
43,2015-03-25,06,1,7
43,2015-03-25,07,12,44
43,2015-03-25,08,40,112
